Easting [m,Northig [m,Hydro_FT-2D_MAP 2010 [m]
4574134.46,5303612.89,-0.59
4574103.63,5303751.41,0.97
4574107.64,5303714.84,0.35
4574086.90,5303780.08,0.85
4574112.37,5303678.18,-0.40
4574058.11,5303878.82,2.17
4574064.57,5303844.11,0.60
4574070.16,5303808.75,0.74
4574117.05,5303641.61,-0.60
4574091.30,5303743.81,0.47
4574094.94,5303706.95,-0.32
4574074.95,5303772.78,0.57
4574099.63,5303670.33,-0.48
4574040.61,5303906.89,2.75
4574022.97,5303935.78,2.15
4574047.46,5303872.48,0.78
4574053.43,5303837.42,0.62
4574058.60,5303801.74,0.69
4574078.98,5303736.22,0.06
4574082.22,5303699.05,-0.45
4574063.02,5303765.48,0.37
4574030.35,5303900.86,0.93
4574005.33,5303964.68,1.72
4574012.18,5303929.37,0.65
4574036.70,5303866.09,0.53
4574042.25,5303830.71,0.75
4574047.07,5303794.75,0.74
4574066.65,5303728.61,-0.02
4574051.07,5303758.18,0.36
4574019.97,5303894.76,0.45
4573987.70,5303993.57,1.30
4573994.01,5303957.87,0.44
4574001.28,5303922.89,0.27
4574025.91,5303859.68,0.85
4574031.11,5303824.02,1.05
4574035.50,5303787.74,0.89
4574009.56,5303888.65,0.90
4573970.06,5304022.46,1.00
4573975.84,5303986.38,0.26
4573982.60,5303951.01,0.11
4573990.36,5303916.39,0.75
4574015.15,5303853.28,1.44
4574019.93,5303817.30,1.37
4573999.20,5303882.55,1.89
4573952.42,5304051.36,0.49
4573957.68,5304014.89,0.26
4573963.91,5303979.14,0.01
4573971.16,5303944.14,0.64
4573979.48,5303909.92,1.54
4574004.35,5303846.87,1.93
4573988.78,5303876.43,2.32
4573934.78,5304080.25,-0.15
4573939.51,5304043.40,0.19
4573945.22,5304007.27,0.05
4573951.97,5303971.89,0.55
4573959.77,5303937.29,1.12
4573968.56,5303903.43,1.94
4573916.72,5304114.56,-0.22
4573921.34,5304071.90,0.03
4573926.54,5304035.39,0.16
4573932.77,5303999.64,0.44
4573940.05,5303964.66,0.77
4573948.34,5303930.43,1.34
4573898.65,5304148.87,-0.37
4573880.59,5304183.17,-0.51
4573903.37,5304106.52,-0.06
4573907.85,5304063.52,0.24
4573913.57,5304027.39,0.26
4573920.33,5303992.03,0.19
4573928.13,5303957.42,0.70
4573885.41,5304141.14,-0.28
4573862.52,5304217.48,-0.39
4573867.44,5304175.76,-0.60
4573889.95,5304098.44,0.56
4573894.37,5304055.14,0.10
4573900.62,5304019.40,-0.20
4573907.91,5303984.42,-0.02
4573872.05,5304133.35,0.85
4573844.46,5304251.79,-0.29
4573849.47,5304210.37,-0.97
4573854.15,5304168.27,0.97
4573887.69,5304011.42,-0.25
4573876.49,5304090.33,0.10
4573880.90,5304046.77,-0.59
4573858.60,5304125.51,0.13
4573827.30,5304280.63,-0.33
4573831.50,5304244.99,-1.31
4573836.25,5304203.18,0.96
4573840.71,5304160.70,0.16
4573867.47,5304038.42,-0.47
4573863.01,5304082.22,-0.69
4573845.13,5304117.66,-0.57
