Easting [m],Northig [m],dz
4574150.56,5303701.69,0.28
4574155.37,5303665,0.72
4574160.06,5303628.38,-0.14
4574164.69,5303591.86,-1.02
4574169.29,5303555.45,-0.83
4574128.13,5303766.52,-0.02
4574133.01,5303730.6,0.35
4574110.62,5303794.6,0.62
4574137.87,5303693.87,0.89
4574093.12,5303822.67,1.2
4574142.59,5303657.2,-0.05
4574147.25,5303620.63,-0.97
4574151.87,5303584.17,-0.94
4574115.9,5303758.98,0.49
4574120.36,5303722.74,1.05
4574098.79,5303787.36,0.63
4574125.11,5303686.02,0.04
4574075.62,5303850.74,1.8
4574081.68,5303815.73,0.77
4574129.81,5303649.4,-0.94
4574134.46,5303612.89,-1.04
4574103.63,5303751.41,1
4574107.64,5303714.84,0.13
4574086.9,5303780.08,0.96
4574112.37,5303678.18,-0.91
4574058.11,5303878.82,2.38
4574064.57,5303844.11,0.92
4574070.16,5303808.75,0.91
4574117.05,5303641.61,-1.14
4574091.3,5303743.81,0.32
4574094.94,5303706.95,-0.87
4574074.95,5303772.78,0.5
4574099.63,5303670.33,-1.25
4574040.61,5303906.89,2.97
4574022.97,5303935.78,2.35
4574047.46,5303872.48,1.06
4574053.43,5303837.42,0.87
4574058.6,5303801.74,0.68
4574078.98,5303736.22,-0.42
4574082.22,5303699.05,-1.36
4574063.02,5303765.48,0.04
4574030.35,5303900.86,1.2
4574005.33,5303964.68,1.73
4574012.18,5303929.37,0.86
4574036.7,5303866.09,0.82
4574042.25,5303830.71,0.85
4574047.07,5303794.75,0.5
4574066.65,5303728.61,-0.84
4574051.07,5303758.18,-0.27
4574019.97,5303894.76,0.79
4573987.7,5303993.57,1.1
4573994.01,5303957.87,0.54
4574001.28,5303922.89,0.58
4574025.91,5303859.68,1.01
4574031.11,5303824.02,0.96
4574035.5,5303787.74,0.28
4574009.56,5303888.65,1.17
4573970.06,5304022.46,0.48
4573975.84,5303986.38,0.21
4573982.6,5303951.01,0.4
4573990.36,5303916.39,1
4574015.15,5303853.28,1.43
4574019.93,5303817.3,0.84
4573999.2,5303882.55,1.84
4573952.42,5304051.36,-0.15
4573957.68,5304014.89,-0.1
4573963.91,5303979.14,0.2
4573971.16,5303944.14,0.76
4573979.48,5303909.92,1.5
4574004.35,5303846.87,1.47
4573988.78,5303876.43,2.02
4573934.78,5304080.25,-0.79
4573939.51,5304043.4,-0.4
4573945.22,5304007.27,-0.02
4573951.97,5303971.89,0.55
4573959.77,5303937.29,1.09
4573968.56,5303903.43,1.45
4573916.72,5304114.56,-0.74
4573921.34,5304071.9,-0.7
4573926.54,5304035.39,-0.26
4573932.77,5303999.64,0.37
4573940.05,5303964.66,0.6
4573948.34,5303930.43,0.92
4573898.65,5304148.87,-0.68
4573880.59,5304183.17,-0.46
4573903.37,5304106.52,-0.91
4573907.85,5304063.52,-0.47
4573913.57,5304027.39,0.21
4573920.33,5303992.03,0.44
4573928.13,5303957.42,0.45
4573885.41,5304141.14,-1.06
4573862.52,5304217.48,-0.26
4573867.44,5304175.76,-1.29
4573889.95,5304098.44,-0.25
4573894.37,5304055.14,0.08
4573900.62,5304019.4,-0.02
4573907.91,5303984.42,0.14
4573872.05,5304133.35,-0.04
4573844.46,5304251.79,-0.22
4573849.47,5304210.37,-1.39
4573854.15,5304168.27,0.15
4573887.69,5304011.42,-0.27
4573876.49,5304090.33,0.05
4573880.9,5304046.77,-0.37
4573858.6,5304125.51,0.05
4573827.3,5304280.63,-0.18
4573831.5,5304244.99,-1.53
4573836.25,5304203.18,0.38
4573840.71,5304160.7,0.15
4573867.47,5304038.42,-0.12
4573863.01,5304082.22,-0.19
4573845.13,5304117.66,0.07
4573810.14,5304309.48,-0.43
