X,Y,Zsim
0.4,1.639756092,0.070671
0.4,1.654459925,0.07048835
0.4,1.669163758,0.070196765
0.4,1.683867591,0.069627789
0.4,1.698571424,0.06897926
0.4,1.713275257,0.068323584
0.4,1.72797909,0.067756325
0.4,1.742682923,0.067268643
0.4,1.757386756,0.066773229
0.4,1.772090589,0.066242406
0.4,1.786794422,0.065597415
0.4,1.801498255,0.064955124
0.4,1.816202088,0.064043761
0.4,1.830905921,0.062615985
0.4,1.845609754,0.060480287
0.4,1.860313587,0.058086708
0.4,1.87501742,0.055391337
0.4,1.889721253,0.053799403
0.4,1.904425086,0.052081363
0.4,1.919128919,0.050154477
0.4,1.933832752,0.047698879
0.4,1.948536585,0.045512041
0.4,1.963240418,0.043555887
0.4,1.977944251,0.041819898
0.4,1.992648084,0.040276959
0.4,2.007351916,0.038967113
0.4,2.022055749,0.037922351
0.4,2.036759582,0.037051166
0.4,2.051463415,0.0363398
0.4,2.066167248,0.03565552
0.4,2.080871081,0.035015218
0.4,2.095574914,0.034555496
0.4,2.110278747,0.034284846
0.4,2.12498258,0.034008012
0.4,2.139686413,0.033623311
0.4,2.154390246,0.033013979
0.4,2.169094079,0.032081432
0.4,2.183797912,0.031274338
0.4,2.198501745,0.030816705
0.4,2.213205578,0.030629934
0.4,2.227909411,0.030745891
0.4,2.242613244,0.031027952
0.4,2.257317077,0.031460206
0.4,2.27202091,0.032214986
0.4,2.286724743,0.033490587
0.4,2.301428576,0.035153279
0.4,2.316132409,0.036981551
0.4,2.330836242,0.039187846
0.4,2.345540075,0.041324411
0.4,2.360243908,0.04374677
0.4,2.374947741,0.045385293
0.5,1.562565324,0.07181
0.5,1.57714648,0.07181
0.5,1.591727636,0.0716273
0.5,1.606308792,0.07124987
0.5,1.620889948,0.070878133
0.5,1.635471103,0.07046697
0.5,1.650052259,0.070008923
0.5,1.664633415,0.06966813
0.5,1.679214571,0.069319367
0.5,1.693795727,0.068984331
0.5,1.708376883,0.068807498
0.5,1.722958039,0.068921598
0.5,1.737539194,0.068655838
0.5,1.75212035,0.068662754
0.5,1.766701506,0.068532379
0.5,1.781282662,0.068077641
