X,Y,Zexp
0.5,2.349947741,0.0560
0.5,2.364528897,0.0580
0.5,2.379110052,0.0600
0.5,2.393691208,0.0620
0.5,2.408272364,0.0620
0.5,2.42285352,0.0600
0.5,2.437434676,0.0590
0.6,1.500078389,0.0600
0.6,1.515460592,0.0600
0.6,1.530842796,0.0590
0.6,1.546224999,0.0600
0.6,1.561607203,0.0600
0.6,1.576989406,0.0590
0.6,1.592371609,0.0600
0.6,1.607753813,0.0610
0.6,1.623136016,0.0600
0.6,1.63851822,0.0610
0.6,1.653900423,0.0630
0.6,1.669282626,0.0620
0.6,1.68466483,0.0620
0.6,1.700047033,0.0630
0.6,1.715429237,0.0630
0.6,1.73081144,0.0600
0.6,1.746193644,0.0600
0.6,1.761575847,0.0580
0.6,1.77695805,0.0560
0.6,1.792340254,0.0520
0.6,1.807722457,0.0440
0.6,1.823104661,0.0410
0.6,1.838486864,0.0420
0.6,1.853869068,0.0420
0.6,1.869251271,0.0400
0.6,1.884633474,0.0370
0.6,1.900015678,0.0350
0.6,1.915397881,0.0310
0.6,1.930780085,0.0310
0.6,1.946162288,0.0300
0.6,1.961544491,0.0300
0.6,1.976926695,0.0300
0.6,1.992308898,0.0300
0.6,2.007691102,0.0310
0.6,2.023073305,0.0270
0.6,2.038455509,0.0260
0.6,2.053837712,0.0280
0.6,2.069219915,0.0290
0.6,2.084602119,0.0290
0.6,2.099984322,0.0360
0.6,2.115366526,0.0390
0.6,2.130748729,0.0410
0.6,2.146130932,0.0380
0.6,2.161513136,0.0360
0.6,2.176895339,0.0320
0.6,2.192277543,0.0320
0.6,2.207659746,0.0310
0.6,2.22304195,0.0370
0.6,2.238424153,0.0420
0.6,2.253806356,0.0470
0.6,2.26918856,0.0520
0.6,2.284570763,0.0570
0.6,2.299952967,0.0580
0.6,2.31533517,0.0560
0.6,2.330717374,0.0530
0.6,2.346099577,0.0480
0.6,2.36148178,0.0460
0.6,2.376863984,0.0510
0.6,2.392246187,0.0560
0.6,2.407628391,0.0570
0.6,2.423010594,0.0590
0.6,2.438392797,0.0590
0.6,2.453775001,0.0570
0.6,2.469157204,0.0580
0.6,2.484539408,0.0610
0.6,2.499921611,0.0640
0.7,1.437591454,0.0590
0.7,1.452199468,0.0590
0.7,1.466807482,0.0580
0.7,1.481415496,0.0590
0.7,1.49602351,0.0590
0.7,1.510631525,0.0580
0.7,1.525239539,0.0590
0.7,1.539847553,0.0600
0.7,1.554455567,0.0590
0.7,1.569063581,0.0600
0.7,1.583671596,0.0620
0.7,1.59827961,0.0630
0.7,1.612887624,0.0630
0.7,1.627495638,0.0610
0.7,1.642103652,0.0580
0.7,1.656711667,0.0590
0.7,1.671319681,0.0630
0.7,1.685927695,0.0640
0.7,1.700535709,0.0620
0.7,1.715143723,0.0620
0.7,1.729751737,0.0590
0.7,1.744359752,0.0540
0.7,1.758967766,0.0510
0.7,1.77357578,0.0480
0.7,1.788183794,0.0440
0.7,1.802791808,0.0400
0.7,1.817399823,0.0370
0.7,1.832007837,0.0340
0.7,1.846615851,0.0330
0.7,1.861223865,0.0330
0.7,1.875831879,0.0320
0.7,1.890439894,0.0330
0.7,1.905047908,0.0330
0.7,1.919655922,0.0330
0.7,1.934263936,0.0320
0.7,1.94887195,0.0310
0.7,1.963479965,0.0310
0.7,1.978087979,0.0310
0.7,1.992695993,0.0360
0.7,2.007304007,0.0380
0.7,2.021912021,0.0420
0.7,2.036520035,0.0470
0.7,2.05112805,0.0480
0.7,2.065736064,0.0480
0.7,2.080344078,0.0460
0.7,2.094952092,0.0450
0.7,2.109560106,0.0440
0.7,2.124168121,0.0460
0.7,2.138776135,0.0470
0.7,2.153384149,0.0470
0.7,2.167992163,0.0490
0.7,2.182600177,0.0480
0.7,2.197208192,0.0450
0.7,2.211816206,0.0400
0.7,2.22642422,0.0370
0.7,2.241032234,0.0370
0.7,2.255640248,0.0380
0.7,2.270248263,0.0410
0.7,2.284856277,0.0440
0.7,2.299464291,0.0420
0.7,2.314072305,0.0390
0.7,2.328680319,0.0380
0.7,2.343288333,0.0390
0.7,2.357896348,0.0430
0.7,2.372504362,0.0460
0.7,2.387112376,0.0510
0.7,2.40172039,0.0570
0.7,2.416328404,0.0590
0.7,2.430936419,0.0590
0.7,2.445544433,0.0610
0.7,2.460152447,0.0620
0.7,2.474760461,0.0610
0.7,2.489368475,0.0600
0.7,2.50397649,0.0620
0.7,2.518584504,0.0640
0.7,2.533192518,0.0640
0.7,2.547800532,0.0630
0.7,2.562408546,0.0630
0.8,1.375104518,0.0590
0.8,1.389982982,0.0580
