x,y,dz
4573460,5304990,0.258000
4573460,5304950,0.258000
4573460,5304910,-0.012000
4573460,5304870,0.453000
4573470,5304830,0.569000
4573470,5304780,0.180000
4573440,5305020,0.261000
4573440,5304980,0.368000
4573440,5304950,0.145000
4573450,5304910,0.427000
4573450,5304860,0.376000
4573450,5304820,-0.179000
4573430,5305050,0.326000
4573430,5305010,0.415000
4573410,5305080,0.347000
4573430,5304980,0.237000
4573430,5304940,0.307000
4573430,5304900,0.087000
4573440,5304860,-0.580000
4573400,5305110,0.393000
4573410,5305040,0.472000
4573410,5305010,0.315000
4573400,5305070,0.444000
4573410,5304970,0.200000
4573410,5304940,-0.186000
4573420,5304890,-0.952000
4573380,5305140,0.465000
4573380,5305100,0.394000
4573400,5305040,0.348000
4573400,5305000,0.033000
4573390,5305070,0.305000
4573400,5304970,-0.356000
4573400,5304930,-1.080000
4573370,5305170,0.548000
4573370,5305140,0.330000
4573370,5305100,0.236000
4573390,5305030,-0.119000
4573390,5305000,-0.482000
4573370,5305060,-0.229000
4573390,5304960,-1.023000
4573360,5305200,0.564000
4573360,5305170,0.292000
4573360,5305130,0.110000
4573360,5305090,-0.320000
4573370,5305030,-0.565000
4573370,5304990,-0.893000
4573360,5305060,-0.595000
4573350,5305230,0.566000
4573340,5305200,0.301000
4573340,5305160,0.031000
4573340,5305120,-0.359000
4573350,5305090,-0.642000
4573360,5305020,-0.775000
4573350,5305050,-0.693000
4573330,5305270,0.464000
4573330,5305230,0.300000
4573330,5305190,-0.008000
4573330,5305160,-0.389000
4573330,5305120,-0.631000
4573330,5305080,-0.617000
4573320,5305300,0.332000
4573320,5305260,0.310000
4573310,5305330,0.079000
4573320,5305220,-0.064000
4573320,5305190,-0.384000
4573320,5305150,-0.638000
4573320,5305110,-0.546000
4573300,5305360,-0.110000
4573310,5305290,0.310000
4573310,5305250,-0.044000
4573290,5305320,0.264000
4573310,5305220,-0.366000
4573310,5305180,-0.619000
4573310,5305140,-0.510000
4573280,5305390,-0.311000
4573280,5305350,0.219000
4573290,5305280,-0.034000
4573290,5305250,-0.330000
4573280,5305320,0.035000
4573290,5305210,-0.589000
4573290,5305170,-0.490000
4573270,5305420,-0.448000
4573270,5305380,0.129000
4573270,5305350,0.056000
4573280,5305280,-0.305000
4573280,5305240,-0.569000
4573270,5305310,-0.268000
4573280,5305210,-0.491000
4573260,5305450,-0.533000
4573250,5305410,0.000000
4573250,5305380,0.074000
4573250,5305340,-0.230000
4573270,5305270,-0.527000
4573260,5305240,-0.465000
4573250,5305300,-0.460000
4573240,5305480,-0.576000
4573240,5305440,-0.176000
4573240,5305410,0.050000
4573240,5305370,-0.192000
4573240,5305330,-0.356000
4573250,5305270,-0.415000
4573240,5305300,-0.298000
4573230,5305510,-0.637000
4573230,5305480,-0.338000
4573230,5305440,-0.010000
4573230,5305400,-0.133000
4573230,5305360,-0.219000
4573220,5305330,-0.193000
4573210,5305550,-0.698000
4573210,5305510,-0.484000
4573210,5305470,-0.107000
4573200,5305590,-0.751000
4573180,5305620,-0.739000
4573210,5305430,-0.056000
4573210,5305400,-0.055000
4573210,5305360,-0.027000
4573200,5305540,-0.592000
4573200,5305500,-0.170000
4573200,5305460,0.038000
4573180,5305580,-0.660000
4573170,5305660,-0.681000
4573170,5305620,-0.692000
4573200,5305430,0.123000
4573200,5305390,0.147000
4573180,5305540,-0.220000
4573190,5305490,0.114000
4573180,5305460,0.297000
4573170,5305570,-0.254000
4573150,5305700,-0.547000
4573150,5305650,-0.700000
4573150,5305610,-0.271000
4573180,5305420,0.315000
4573170,5305530,0.197000
4573170,5305490,0.459000
4573170,5305450,0.471000
4573150,5305570,0.261000
4573130,5305730,-0.457000
4573140,5305690,-0.630000
4573140,5305650,-0.280000
4573140,5305600,0.349000
4573160,5305520,0.595000
4573160,5305480,0.576000
4573140,5305560,0.730000
4573120,5305770,-0.273000
4573120,5305730,-0.555000
4573120,5305680,-0.279000
4573120,5305640,0.381000
4573120,5305600,0.799000
4573140,5305520,0.665000
4573120,5305550,0.647000
4573100,5305810,-0.162000
4573100,5305760,-0.367000
4573100,5305720,-0.244000
4573110,5305680,0.463000
4573110,5305630,0.831000
4573110,5305590,0.585000
4573080,5305840,0.023000
4573090,5305800,-0.228000
4573090,5305760,-0.188000
4573090,5305710,0.502000
4573090,5305670,0.814000
4573090,5305630,0.481000
4573070,5305880,0.259000
4573070,5305840,-0.036000
4573070,5305790,-0.102000
4573070,5305750,0.481000
4573070,5305710,0.763000
4573070,5305660,0.213000
4573050,5305910,0.482000
4573050,5305870,0.132000
4573050,5305830,0.017000
4573060,5305790,0.385000
4573060,5305740,0.622000
4573060,5305700,0.009000
4573040,5305940,0.557000
4573040,5305900,0.353000
4573040,5305870,0.079000
4573040,5305820,0.228000
4573040,5305780,0.431000
4573040,5305740,-0.131000
4573030,5305970,0.624000
4573030,5305930,0.558000
4573020,5305900,0.141000
4573020,5305860,0.046000
4573020,5305820,0.159000
4573030,5305770,-0.267000
4573020,5306000,0.693000
4573010,5305970,0.782000
4573010,5305930,0.212000
4573010,5305890,-0.108000
4573010,5305850,-0.106000
4573010,5305810,-0.414000
4573000,5306030,0.725000
4572990,5306070,0.619000
4573000,5306000,0.887000
4573000,5305960,0.313000
4573000,5305920,-0.253000
4573000,5305880,-0.313000
4572990,5305850,-0.511000
4572980,5306100,0.481000
4572990,5306030,0.908000
4572980,5306060,0.891000
4572990,5305990,0.340000
4572980,5305950,-0.337000
4572980,5305920,-0.505000
4572980,5305880,-0.598000
4572970,5306130,0.210000
4572970,5306090,0.824000
4572970,5306020,0.381000
4572960,5306050,0.392000
4572970,5305980,-0.397000
4572970,5305950,-0.662000
4572970,5305910,-0.634000
4572950,5306160,-0.013000
4572950,5306120,0.755000
4572950,5306080,0.457000
4572960,5306020,-0.399000
4572950,5306050,-0.380000
4572960,5305980,-0.784000
4572960,5305940,-0.737000
4572940,5306150,0.579000
4572940,5306190,-0.307000
4572940,5306120,0.473000
4572940,5306080,-0.293000
4572940,5306010,-0.880000
4572930,5306040,-0.824000
4572940,5305970,-0.758000
4572930,5306150,0.464000
4572930,5306180,0.418000
4572930,5306220,-0.521000
4572920,5306110,-0.248000
4572920,5306070,-0.837000
4572930,5306000,-0.782000
4572920,5306030,-0.703000
4572910,5306140,-0.155000
4572910,5306180,0.398000
4572920,5306220,0.136000
4572920,5306250,-0.678000
4572910,5306100,-0.703000
4572910,5306060,-0.686000
4572900,5306130,-0.572000
4572900,5306170,-0.140000
4572900,5306210,0.323000
4572900,5306250,-0.138000
4572900,5306290,-0.706000
4572880,5306320,-0.767000
4572900,5306100,-0.533000
4572880,5306130,-0.322000
4572890,5306170,-0.334000
4572890,5306200,0.022000
4572890,5306240,0.104000
4572890,5306280,-0.413000
4572860,5306360,-0.807000
4572870,5306320,-0.660000
4572850,5306400,-0.753000
4572870,5306160,-0.029000
4572880,5306200,-0.124000
4572880,5306240,0.046000
4572870,5306280,-0.125000
4572850,5306360,-0.800000
4572860,5306310,-0.293000
4572830,5306430,-0.447000
4572830,5306390,-0.801000
4572860,5306190,0.101000
4572860,5306230,0.190000
4572860,5306270,0.060000
4572840,5306350,-0.387000
4572840,5306310,0.148000
4572820,5306460,-0.226000
4572820,5306430,-0.732000
4572820,5306390,-0.366000
4572850,5306220,0.478000
4572850,5306270,0.475000
4572820,5306340,0.263000
4572830,5306300,0.831000
4572800,5306490,0.176000
4572800,5306460,-0.516000
4572790,5306530,0.471000
4572770,5306560,0.819000
4572800,5306420,-0.330000
4572810,5306380,0.477000
4572830,5306260,0.917000
4572810,5306340,1.016000
4572810,5306300,1.212000
4572790,5306490,-0.304000
4572790,5306450,-0.164000
4572770,5306520,0.017000
4572760,5306590,1.058000
4572760,5306550,0.328000
4572790,5306420,0.658000
4572790,5306370,1.197000
4572800,5306330,1.147000
4572770,5306480,-0.070000
4572770,5306450,0.843000
4572760,5306510,0.111000
4572750,5306620,1.351000
4572750,5306580,0.669000
4572750,5306540,0.201000
4572770,5306410,1.141000
4572780,5306370,0.832000
4572760,5306480,0.860000
4572760,5306440,0.953000
4572750,5306510,0.784000
4572730,5306650,1.401000
4572730,5306610,0.960000
4572730,5306570,0.328000
4572730,5306540,0.491000
4572760,5306400,0.121000
4572750,5306470,0.582000
4572750,5306430,-0.459000
4572730,5306500,0.156000
4572720,5306690,1.056000
4572720,5306650,1.273000
4572720,5306600,0.317000
4572720,5306570,0.213000
4572720,5306530,-0.263000
4572730,5306460,-0.891000
4572720,5306490,-1.003000
4572710,5306730,0.676000
4572700,5306690,1.519000
4572700,5306640,0.416000
4572700,5306600,-0.115000
4572700,5306560,-0.616000
4572700,5306530,-0.937000
4572690,5306770,-0.338000
4572690,5306720,1.589000
4572690,5306680,0.565000
4572690,5306640,-0.296000
4572690,5306590,-0.847000
4572690,5306560,-0.861000
4572680,5306760,1.416000
4572680,5306810,-1.246000
4572680,5306720,0.710000
4572670,5306670,-0.400000
4572670,5306630,-0.982000
4572680,5306590,-0.834000
4572660,5306760,1.053000
4572660,5306800,0.991000
4572670,5306840,-1.405000
4572650,5306870,-1.356000
4572660,5306710,-0.345000
4572660,5306670,-1.027000
4572660,5306620,-0.887000
4572640,5306900,-1.116000
4572640,5306750,-0.245000
4572650,5306790,1.276000
4572650,5306830,0.706000
4572640,5306860,0.357000
4572640,5306700,-0.982000
4572640,5306660,-0.836000
4572630,5306930,-0.862000
4572620,5306890,-0.030000
4572610,5306960,-0.779000
4572600,5306990,-0.819000
4572590,5307020,-0.880000
4572630,5306740,-0.880000
4572630,5306790,-0.057000
4572630,5306820,1.260000
4572620,5306850,1.117000
4572630,5306700,-0.727000
4572610,5306920,-0.403000
4572610,5306880,0.877000
4572600,5306950,-0.701000
4572580,5306980,-0.940000
4572570,5307050,-0.952000
4572570,5307010,-1.116000
4572610,5306730,-0.411000
4572610,5306780,-0.573000
4572620,5306820,0.021000
4572600,5306850,0.172000
4572590,5306910,0.548000
4572590,5306880,0.295000
4572580,5306950,0.248000
4572570,5306980,-0.028000
4572560,5307080,-0.968000
4572560,5307040,-1.235000
4572550,5307010,-0.280000
4572600,5306770,-0.038000
4572600,5306810,-0.307000
4572590,5306840,0.064000
4572580,5306910,0.427000
4572570,5306870,0.389000
4572560,5306940,0.508000
4572550,5306970,0.574000
4572550,5307110,-0.865000
4572540,5307070,-1.298000
4572540,5307040,-0.444000
4572540,5307000,0.616000
4572580,5306800,0.276000
4572570,5306830,0.450000
4572560,5306900,0.716000
4572560,5306860,0.702000
4572550,5306930,0.982000
4572530,5306960,1.218000
4572530,5307070,-0.573000
4572540,5307140,-0.691000
4572530,5307110,-1.323000
4572520,5307030,0.673000
4572520,5306990,1.438000
4572540,5306890,0.882000
4572530,5306920,1.128000
4572520,5306950,1.342000
4572520,5307170,-0.623000
4572510,5307060,0.679000
4572510,5307100,-0.637000
4572520,5307140,-1.320000
4572510,5307020,1.567000
4572500,5306980,1.535000
4572510,5307210,-0.630000
4572510,5307170,-1.257000
4572490,5307050,1.676000
4572500,5307090,0.696000
4572500,5307130,-0.695000
4572490,5307020,1.600000
4572490,5307160,-0.750000
4572490,5307250,-0.507000
4572490,5307200,-1.204000
4572480,5307050,1.733000
4572480,5307080,1.755000
4572480,5307120,0.752000
4572470,5307280,-0.316000
4572470,5307150,0.806000
4572470,5307200,-0.754000
4572470,5307240,-1.045000
4572460,5307080,1.707000
4572470,5307110,1.826000
4572460,5307280,-0.814000
4572460,5307320,0.126000
4572450,5307140,1.862000
4572450,5307190,0.970000
4572450,5307230,-0.710000
4572450,5307110,1.559000
4572440,5307270,-0.695000
4572440,5307310,-0.499000
4572440,5307360,0.869000
4572440,5307140,1.251000
4572440,5307180,1.870000
4572440,5307220,0.995000
4572420,5307390,1.392000
4572420,5307260,0.878000
4572420,5307300,-0.693000
4572420,5307350,-0.225000
4572420,5307170,0.877000
4572420,5307220,1.696000
4571920,5308230,0.000000
4571940,5308200,-0.203000
4572400,5307430,1.589000
4572400,5307390,0.126000
4572400,5307250,1.501000
4572400,5307300,0.625000
4572400,5307340,-0.728000
4572400,5307210,0.670000
4571900,5308220,0.000000
4571920,5308190,0.072000
4571960,5308170,-0.196000
4571980,5308150,-0.095000
4572380,5307420,0.667000
4572380,5307470,1.578000
4572390,5307380,-0.562000
4572390,5307240,0.484000
4572390,5307290,1.225000
4572390,5307330,0.418000
4572370,5307500,1.526000
4572350,5307540,1.612000
4571890,5308210,0.000000
4571910,5308180,-0.016000
4571940,5308160,0.165000
4571960,5308140,0.161000
4572000,5308120,0.101000
4572040,5308060,0.085000
4572060,5308040,-0.061000
4572370,5307410,-0.308000
4572370,5307460,1.271000
4572370,5307370,0.316000
4572370,5307280,0.261000
4572370,5307320,0.856000
4572350,5307490,1.866000
4572330,5307570,1.525000
4572330,5307530,2.286000
4571870,5308190,0.000000
4572020,5308090,0.144000
4571890,5308170,-0.353000
4571930,5308150,0.011000
4571950,5308120,-0.003000
4571980,5308110,0.135000
4572020,5308050,-0.047000
4572040,5308030,-0.193000
4572080,5308010,-0.277000
4572090,5307980,-0.471000
4572110,5307950,-0.727000
4572130,5307920,-0.841000
4572150,5307890,-0.831000
4572310,5307610,1.185000
4572290,5307650,0.695000
