x,y,dz
4573700,5304500,-0.32800
4573700,5304600,0.34600
4573700,5304600,0.11600
4573600,5304600,0.93400
4573700,5304400,-0.23400
4573600,5304500,-0.42700
4573600,5304500,-0.34600
4573600,5304500,-0.29900
4573600,5304600,-0.35700
4573600,5304600,0.16100
4573600,5304700,0.78300
4573600,5304600,0.04500
4573600,5304500,-0.33900
4573600,5304500,-0.31200
4573600,5304600,-0.26400
4573600,5304600,-0.35700
4573600,5304600,-0.50500
4573600,5304700,0.81000
4573600,5304700,-0.04900
4573600,5304500,-0.41100
4573600,5304600,-0.28900
4573600,5304600,-0.21300
4573600,5304600,-0.17000
4573600,5304700,-0.55200
4573600,5304800,0.55000
4573600,5304700,-0.13800
4573600,5304800,0.34000
4573600,5304500,-0.59900
4573600,5304600,-0.28700
4573600,5304600,-0.17700
4573600,5304700,-0.07000
4573600,5304700,-0.59800
4573600,5304700,-0.24600
4573500,5304800,0.30500
4573500,5304800,-0.38900
4573600,5304600,-0.71500
4573600,5304600,0.45300
4573600,5304700,-0.11700
4573600,5304700,0.01800
4573600,5304700,-0.66600
4573500,5304900,0.20100
4573500,5304800,-0.67600
4573500,5304800,-0.34200
4573500,5304900,0.20900
4573600,5304600,0.32900
4573500,5304700,-0.01100
4573500,5304700,0.09500
4573500,5304900,-0.23200
4573500,5304800,0.13500
4573500,5304800,-0.47900
4573500,5304900,0.34700
4573500,5304900,-0.14100
4573500,5304700,-0.18600
4573500,5304700,0.05500
4573500,5304800,-0.35400
4573500,5304800,0.13200
4573500,5304800,-0.12600
4573500,5305000,0.47000
4573500,5304900,0.05600
4573500,5304900,-0.29300
4573500,5304700,-0.07500
4573500,5304800,-0.36000
4573500,5304800,-0.71800
4573500,5304800,-0.11000
4573500,5305000,0.38800
4573500,5305000,0.27600
4573500,5304900,-0.30100
4573500,5304900,-0.58300
4573500,5304800,-0.35600
4573500,5304800,-0.45900
4573400,5305000,0.38900
4573400,5305000,0.18700
4573400,5305000,-0.37500
4573500,5304900,-0.75800
4573500,5304900,-0.60200
4573500,5304800,-0.66200
4573400,5305100,0.36300
4573400,5305000,0.08600
4573400,5305100,0.29200
4573400,5305000,-0.41800
4573400,5304900,-0.91900
4573400,5304900,-0.84200
4573400,5304900,-0.53800
4573400,5305100,0.22300
4573400,5305000,-0.04000
4573400,5305000,-0.45500
4573400,5305100,-0.22200
4573400,5305000,-0.78100
4573400,5304900,-1.02900
4573400,5304900,-0.63400
4573400,5305100,0.10800
4573400,5305100,-0.34100
4573400,5305000,-0.45500
4573400,5305000,-0.63100
4573400,5305100,-0.43500
4573400,5305000,-0.91700
4573400,5304900,-0.57800
4573400,5305200,0.21800
4573400,5305100,-0.45200
